gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
MRPL14	-0.035068	0.1169321835	211	STATE_ST-HVG-Parse
ATP6V1E1	0.008107	0.7170952559	188	STATE_ST-HVG-Parse
SLC35G6	0.001484	0.9471305013	163	STATE_ST-HVG-Parse
MCL1	-0.121839	4.61e-08	86	STATE_ST-HVG-Parse
CIAPIN1	0.094414	2.34606e-05	151	STATE_ST-HVG-Parse
SOD2	-0.060963	0.0063873641	198	STATE_ST-HVG-Parse
ALYREF	0.111769	5.413e-07	319	STATE_ST-HVG-Parse
PEX1	0.114263	2.998e-07	53	STATE_ST-HVG-Parse
YJEFN3	-0.072324	0.0012093865	179	STATE_ST-HVG-Parse
MED22	0.316866	0.0	289	STATE_ST-HVG-Parse
ANKRD49	0.022671	0.3108868301	144	STATE_ST-HVG-Parse
HMGB1	0.038416	0.085875757	241	STATE_ST-HVG-Parse
RFC3	0.102923	3.9835e-06	229	STATE_ST-HVG-Parse
CDC7	0.021519	0.3361087739	95	STATE_ST-HVG-Parse
ATF5	0.236126	0.0	141	STATE_ST-HVG-Parse
DICER1	0.11255	4.505e-07	158	STATE_ST-HVG-Parse
CHMP2A	0.197691	0.0	93	STATE_ST-HVG-Parse
MRPS26	0.027434	0.2200733125	120	STATE_ST-HVG-Parse
RCC1	0.076761	0.0005908378	226	STATE_ST-HVG-Parse
CDCA5	0.154409	0.0	61	STATE_ST-HVG-Parse
HMGA1	-0.073221	0.0010495406	114	STATE_ST-HVG-Parse
PFN1	0.100003	7.4393e-06	259	STATE_ST-HVG-Parse
NEDD1	0.105655	2.1871e-06	142	STATE_ST-HVG-Parse
HIST1H2BL	0.004463	0.841906786	204	STATE_ST-HVG-Parse
COPS6	0.030355	0.1747842282	235	STATE_ST-HVG-Parse
SEPHS2	-0.020079	0.3694518209	158	STATE_ST-HVG-Parse
DCTN4	0.071742	0.0013249598	77	STATE_ST-HVG-Parse
COX7C	0.05562	0.0128538832	165	STATE_ST-HVG-Parse
DDX5	-0.035709	0.110381037	151	STATE_ST-HVG-Parse
THG1L	0.123778	2.8e-08	43	STATE_ST-HVG-Parse
TIMM13	0.114465	2.856e-07	178	STATE_ST-HVG-Parse
CYC1	0.104156	3.0445e-06	98	STATE_ST-HVG-Parse
WDR92	0.041877	0.0611468181	66	STATE_ST-HVG-Parse
PSMG3	-0.056641	0.0112929279	439	STATE_ST-HVG-Parse
RRS1	0.216506	0.0	72	STATE_ST-HVG-Parse
PSMG2	0.033624	0.1327824146	164	STATE_ST-HVG-Parse
TERF2	0.17723	0.0	50	STATE_ST-HVG-Parse
PRMT5	0.061777	0.0057155448	127	STATE_ST-HVG-Parse
NDUFA6	-0.034747	0.1203202307	169	STATE_ST-HVG-Parse
TGS1	0.061357	0.0060537402	161	STATE_ST-HVG-Parse
TP53RK	0.028868	0.1968853623	88	STATE_ST-HVG-Parse
RPUSD4	0.000733	0.9738778472	126	STATE_ST-HVG-Parse
SPATA5L1	0.13996	3e-10	150	STATE_ST-HVG-Parse
AKIRIN2	0.082553	0.0002191219	169	STATE_ST-HVG-Parse
MRPL22	-0.047487	0.0337078646	96	STATE_ST-HVG-Parse
EIF2S1	0.230007	0.0	243	STATE_ST-HVG-Parse
EEF2	0.207987	0.0	321	STATE_ST-HVG-Parse
MNAT1	0.17798	0.0	85	STATE_ST-HVG-Parse
LARS	0.116635	1.689e-07	100	STATE_ST-HVG-Parse
CUL1	0.017272	0.4401165247	223	STATE_ST-HVG-Parse
VPS13D	-0.011619	0.6035453677	140	STATE_ST-HVG-Parse
E2F6	-0.043101	0.0539530814	150	STATE_ST-HVG-Parse
EXOSC4	0.263679	0.0	102	STATE_ST-HVG-Parse
GMPPB	-0.026251	0.2406188101	164	STATE_ST-HVG-Parse
RRP1	0.154549	0.0	109	STATE_ST-HVG-Parse
MRPS31	0.03321	0.1376246065	107	STATE_ST-HVG-Parse
POLR3E	0.011053	0.6212955713	221	STATE_ST-HVG-Parse
KRI1	0.221614	0.0	52	STATE_ST-HVG-Parse
RNF20	0.230696	0.0	124	STATE_ST-HVG-Parse
ZNF335	0.0644	0.0039613545	146	STATE_ST-HVG-Parse
NOC3L	0.171249	0.0	83	STATE_ST-HVG-Parse
GPN3	0.280266	0.0	276	STATE_ST-HVG-Parse
NDC1	0.021227	0.342723459	39	STATE_ST-HVG-Parse
TPX2	0.313276	0.0	361	STATE_ST-HVG-Parse
NSF	0.003439	0.8778304458	165	STATE_ST-HVG-Parse
NUP62	0.241608	0.0	99	STATE_ST-HVG-Parse
RPL13A	0.192681	0.0	158	STATE_ST-HVG-Parse
SNAPC5	0.093363	2.89162e-05	102	STATE_ST-HVG-Parse
BANP	0.160419	0.0	110	STATE_ST-HVG-Parse
AAMP	0.16692	0.0	99	STATE_ST-HVG-Parse
GPKOW	0.101937	4.9279e-06	107	STATE_ST-HVG-Parse
CHMP3	0.217988	0.0	130	STATE_ST-HVG-Parse
USP5	-0.010221	0.6477980018	199	STATE_ST-HVG-Parse
POLR2F	0.280065	0.0	337	STATE_ST-HVG-Parse
ORC3	-0.004306	0.8473864794	181	STATE_ST-HVG-Parse
TXNL4B	0.070074	0.0017143586	135	STATE_ST-HVG-Parse
PPP1CA	-0.099642	8.0279e-06	248	STATE_ST-HVG-Parse
HIST2H2BF	-0.076295	0.000638106	127	STATE_ST-HVG-Parse
KANSL1	-0.024211	0.2791562378	51	STATE_ST-HVG-Parse
NUDT21	0.214867	0.0	67	STATE_ST-HVG-Parse
MCM6	0.031404	0.1603522152	102	STATE_ST-HVG-Parse
MRPL27	0.034441	0.1236219704	102	STATE_ST-HVG-Parse
OTX1	-0.05473	0.0143686533	108	STATE_ST-HVG-Parse
USP36	0.095637	1.83414e-05	174	STATE_ST-HVG-Parse
NARS	0.171411	0.0	172	STATE_ST-HVG-Parse
PTBP1	0.106193	1.9398e-06	152	STATE_ST-HVG-Parse
UBTF	0.013922	0.5337665677	202	STATE_ST-HVG-Parse
TAF8	0.078822	0.0004182235	110	STATE_ST-HVG-Parse
MRPL3	-0.000278	0.9900826216	175	STATE_ST-HVG-Parse
THOC1	0.14542	1e-10	38	STATE_ST-HVG-Parse
RPL8	0.273258	0.0	384	STATE_ST-HVG-Parse
ATRIP	0.039992	0.0737619177	184	STATE_ST-HVG-Parse
PAFAH1B1	0.218489	0.0	126	STATE_ST-HVG-Parse
FASTKD5	0.026541	0.235462144	187	STATE_ST-HVG-Parse
ATL2	0.012622	0.572653532	120	STATE_ST-HVG-Parse
NCAPG2	0.040306	0.0715245456	84	STATE_ST-HVG-Parse
RBM8A	0.148373	0.0	39	STATE_ST-HVG-Parse
FAM32A	0.193871	0.0	396	STATE_ST-HVG-Parse
RNGTT	0.117865	1.249e-07	115	STATE_ST-HVG-Parse
PPARGC1B	-0.011117	0.6192649603	142	STATE_ST-HVG-Parse
NUP107	0.235163	0.0	316	STATE_ST-HVG-Parse
MLST8	0.02883	0.1974742562	78	STATE_ST-HVG-Parse
C19orf25	0.006842	0.7597473264	189	STATE_ST-HVG-Parse
POLR3D	0.136846	8e-10	118	STATE_ST-HVG-Parse
WDR55	0.005411	0.808908999	97	STATE_ST-HVG-Parse
CMTR1	0.155405	0.0	145	STATE_ST-HVG-Parse
SYF2	0.00967	0.6655911207	86	STATE_ST-HVG-Parse
SRRT	0.150848	0.0	307	STATE_ST-HVG-Parse
SNRPF	0.256595	0.0	130	STATE_ST-HVG-Parse
CCNB1	0.162817	0.0	158	STATE_ST-HVG-Parse
PWP1	0.110236	7.737e-07	69	STATE_ST-HVG-Parse
CEP192	0.188019	0.0	202	STATE_ST-HVG-Parse
MED31	0.109445	9.285e-07	38	STATE_ST-HVG-Parse
ELP6	-0.065818	0.0032313543	83	STATE_ST-HVG-Parse
TOR2A	-0.034112	0.1272517741	48	STATE_ST-HVG-Parse
WDR74	0.1108	6.787e-07	178	STATE_ST-HVG-Parse
OSTC	-0.145753	1e-10	235	STATE_ST-HVG-Parse
TRAPPC8	0.109266	9.674e-07	152	STATE_ST-HVG-Parse
GPS1	0.03665	0.1013013795	431	STATE_ST-HVG-Parse
AURKB	0.207893	0.0	33	STATE_ST-HVG-Parse
RPL26	0.25717	0.0	209	STATE_ST-HVG-Parse
ACD	-0.021193	0.3434858322	77	STATE_ST-HVG-Parse
DKC1	0.217452	0.0	66	STATE_ST-HVG-Parse
SF3B1	0.269517	0.0	165	STATE_ST-HVG-Parse
CSTF1	0.216388	0.0	141	STATE_ST-HVG-Parse
CDC6	0.152427	0.0	192	STATE_ST-HVG-Parse
PPAN	0.240484	0.0	103	STATE_ST-HVG-Parse
CTBP2	-0.012034	0.5906646252	110	STATE_ST-HVG-Parse
TSR1	0.251127	0.0	188	STATE_ST-HVG-Parse
CSNK2B	0.098112	1.10479e-05	128	STATE_ST-HVG-Parse
MRPL4	-0.037361	0.0948474109	125	STATE_ST-HVG-Parse
DPAGT1	-0.025794	0.2488999665	135	STATE_ST-HVG-Parse
DDB1	0.070181	0.0016866844	177	STATE_ST-HVG-Parse
MCM3AP	0.133041	2.3e-09	105	STATE_ST-HVG-Parse
DDX24	0.252549	0.0	286	STATE_ST-HVG-Parse
SIGLEC14	0.078586	0.0004352517	97	STATE_ST-HVG-Parse
COPZ1	0.234538	0.0	207	STATE_ST-HVG-Parse
TAF1C	0.155629	0.0	134	STATE_ST-HVG-Parse
SLBP	0.022872	0.306618154	83	STATE_ST-HVG-Parse
TRMT5	0.02059	0.3574074805	94	STATE_ST-HVG-Parse
RPAIN	-0.06218	0.005407365	108	STATE_ST-HVG-Parse
ABHD17A	0.057527	0.0100758132	95	STATE_ST-HVG-Parse
VMP1	0.014602	0.5139814615	106	STATE_ST-HVG-Parse
WDR46	0.272324	0.0	71	STATE_ST-HVG-Parse
ATR	0.076347	0.0006326744	141	STATE_ST-HVG-Parse
POLR2C	0.306717	0.0	185	STATE_ST-HVG-Parse
LPA	0.027157	0.2247547507	119	STATE_ST-HVG-Parse
GGPS1	-0.046211	0.0387888215	167	STATE_ST-HVG-Parse
CHCHD1	0.011459	0.6085253954	84	STATE_ST-HVG-Parse
VPS18	-0.051386	0.0215554163	157	STATE_ST-HVG-Parse
HIST1H2BJ	-0.021184	0.3437030911	43	STATE_ST-HVG-Parse
MRPS27	0.059311	0.0079742484	81	STATE_ST-HVG-Parse
PDCD5	-0.021906	0.3274950385	194	STATE_ST-HVG-Parse
RBM39	0.094716	2.20844e-05	79	STATE_ST-HVG-Parse
IPO11	-0.008424	0.7065368891	72	STATE_ST-HVG-Parse
NUS1	0.005853	0.7936457992	125	STATE_ST-HVG-Parse
CCDC174	0.085843	0.0001211852	104	STATE_ST-HVG-Parse
MED30	0.29443	0.0	288	STATE_ST-HVG-Parse
ARPC2	0.196017	0.0	227	STATE_ST-HVG-Parse
GOLT1B	0.110937	6.576e-07	279	STATE_ST-HVG-Parse
HSPA8	0.084052	0.000167748	255	STATE_ST-HVG-Parse
MYBBP1A	0.195182	0.0	109	STATE_ST-HVG-Parse
TRMT6	-0.002938	0.895541966	114	STATE_ST-HVG-Parse
POLR1C	0.202627	0.0	187	STATE_ST-HVG-Parse
SURF6	0.173571	0.0	130	STATE_ST-HVG-Parse
RBM17	0.025835	0.2481503189	76	STATE_ST-HVG-Parse
NUBP1	0.107016	1.613e-06	152	STATE_ST-HVG-Parse
CCDC130	-0.038555	0.084743686	113	STATE_ST-HVG-Parse
RPL27A	0.273516	0.0	202	STATE_ST-HVG-Parse
NEDD8	0.021414	0.3384837508	197	STATE_ST-HVG-Parse
SRSF6	-0.028757	0.1986131072	231	STATE_ST-HVG-Parse
HEATR1	0.291728	0.0	234	STATE_ST-HVG-Parse
HYOU1	0.005654	0.8005143404	37	STATE_ST-HVG-Parse
KAT5	-0.056418	0.0116188312	118	STATE_ST-HVG-Parse
HIST2H2AA3	-0.08135	0.0002706865	67	STATE_ST-HVG-Parse
PRPF4B	0.009644	0.6664354801	208	STATE_ST-HVG-Parse
AQP7	-0.091952	3.81556e-05	108	STATE_ST-HVG-Parse
POLR3H	-0.064662	0.0038161096	109	STATE_ST-HVG-Parse
POLR1E	0.208555	0.0	209	STATE_ST-HVG-Parse
ATP6V0D1	0.061328	0.0060780291	101	STATE_ST-HVG-Parse
ZMAT5	0.152086	0.0	100	STATE_ST-HVG-Parse
UTP20	0.268637	0.0	105	STATE_ST-HVG-Parse
TOP3A	0.063077	0.0047736485	159	STATE_ST-HVG-Parse
TUBB	0.208035	0.0	107	STATE_ST-HVG-Parse
SUPV3L1	-0.040279	0.0717101768	80	STATE_ST-HVG-Parse
MRPS24	0.017645	0.4303073287	145	STATE_ST-HVG-Parse
RAC3	0.052573	0.0187086798	220	STATE_ST-HVG-Parse
MAD2L2	0.053914	0.0158932842	200	STATE_ST-HVG-Parse
MEX3A	0.009402	0.6743338108	171	STATE_ST-HVG-Parse
LUC7L3	0.067494	0.0025278078	45	STATE_ST-HVG-Parse
TMA16	0.102029	4.8315e-06	172	STATE_ST-HVG-Parse
TUBGCP3	0.009422	0.6736878157	30	STATE_ST-HVG-Parse
DDX18	0.342503	0.0	137	STATE_ST-HVG-Parse
DCLRE1B	-0.08466	0.0001503062	117	STATE_ST-HVG-Parse
SLC39A7	-0.029279	0.190578714	131	STATE_ST-HVG-Parse
EIF3CL	0.161311	0.0	44	STATE_ST-HVG-Parse
VEZT	0.017713	0.4285211861	204	STATE_ST-HVG-Parse
GOLGA6L1	-0.01931	0.3880887628	197	STATE_ST-HVG-Parse
ADSL	0.072728	0.0011347618	133	STATE_ST-HVG-Parse
NAA20	0.165583	0.0	182	STATE_ST-HVG-Parse
EIF2B3	0.154273	0.0	104	STATE_ST-HVG-Parse
COPS2	0.018556	0.4068829417	47	STATE_ST-HVG-Parse
RBM4	0.141825	2e-10	221	STATE_ST-HVG-Parse
PSMB6	0.147878	0.0	200	STATE_ST-HVG-Parse
GTF2H2C	0.061986	0.0055539641	126	STATE_ST-HVG-Parse
KAT8	-0.172712	0.0	287	STATE_ST-HVG-Parse
SRSF10	0.034612	0.1217694879	133	STATE_ST-HVG-Parse
STIL	0.115556	2.196e-07	171	STATE_ST-HVG-Parse
KANSL2	-0.013964	0.5325551629	158	STATE_ST-HVG-Parse
MSRB1	0.000399	0.9857555628	205	STATE_ST-HVG-Parse
EXOC3	0.028268	0.2063595206	247	STATE_ST-HVG-Parse
NPLOC4	0.181238	0.0	60	STATE_ST-HVG-Parse
INTS2	0.187356	0.0	354	STATE_ST-HVG-Parse
GTF3A	0.080839	0.0002958387	88	STATE_ST-HVG-Parse
PGAM1	0.075631	0.0007116082	160	STATE_ST-HVG-Parse
GTF3C1	0.016505	0.460694164	160	STATE_ST-HVG-Parse
C14orf178	0.266464	0.0	143	STATE_ST-HVG-Parse
SLC9B1	-0.015637	0.4846149981	74	STATE_ST-HVG-Parse
RPAP2	0.275603	0.0	398	STATE_ST-HVG-Parse
NDOR1	-0.017646	0.4302792847	42	STATE_ST-HVG-Parse
RPS25	0.098492	1.02106e-05	40	STATE_ST-HVG-Parse
POLR2L	0.214182	0.0	62	STATE_ST-HVG-Parse
COPS8	0.014752	0.5096614361	224	STATE_ST-HVG-Parse
BRCA2	0.118159	1.161e-07	147	STATE_ST-HVG-Parse
SRFBP1	0.291691	0.0	76	STATE_ST-HVG-Parse
C6orf15	0.113262	3.806e-07	164	STATE_ST-HVG-Parse
BCS1L	0.005562	0.8036906123	70	STATE_ST-HVG-Parse
PUF60	0.086049	0.0001166867	89	STATE_ST-HVG-Parse
ACTR3	-0.02233	0.3182162642	118	STATE_ST-HVG-Parse
DDX27	0.179837	0.0	49	STATE_ST-HVG-Parse
PNKP	-0.054606	0.0145922722	185	STATE_ST-HVG-Parse
COQ5	-0.088359	7.59623e-05	113	STATE_ST-HVG-Parse
ARHGAP11B	-0.024289	0.2776058316	212	STATE_ST-HVG-Parse
RGP1	0.033161	0.1382148713	130	STATE_ST-HVG-Parse
PXN	0.031978	0.1528415233	161	STATE_ST-HVG-Parse
RPS23	0.305028	0.0	114	STATE_ST-HVG-Parse
NOMO3	0.012464	0.5774675608	191	STATE_ST-HVG-Parse
KIN	0.157795	0.0	160	STATE_ST-HVG-Parse
TM7SF2	-0.019294	0.3884756267	100	STATE_ST-HVG-Parse
PNN	0.151468	0.0	86	STATE_ST-HVG-Parse
SMUG1	0.10742	1.4727e-06	71	STATE_ST-HVG-Parse
RFC2	0.070759	0.0015432407	97	STATE_ST-HVG-Parse
YARS	0.087206	9.42439e-05	185	STATE_ST-HVG-Parse
PPIA	-0.047291	0.0344486497	158	STATE_ST-HVG-Parse
TTI1	0.147018	0.0	151	STATE_ST-HVG-Parse
NRF1	0.027383	0.2209227234	71	STATE_ST-HVG-Parse
SNUPN	0.069752	0.0018008847	139	STATE_ST-HVG-Parse
SCFD1	0.235788	0.0	152	STATE_ST-HVG-Parse
RPLP1	0.101427	5.498e-06	117	STATE_ST-HVG-Parse
MDN1	0.132986	2.4e-09	84	STATE_ST-HVG-Parse
LURAP1	0.031555	0.1583434939	71	STATE_ST-HVG-Parse
RPL6	0.271242	0.0	273	STATE_ST-HVG-Parse
IMP3	0.184377	0.0	27	STATE_ST-HVG-Parse
CHERP	0.088714	7.10398e-05	67	STATE_ST-HVG-Parse
RNASEH2C	0.137507	7e-10	102	STATE_ST-HVG-Parse
ALG1	-0.116817	1.615e-07	69	STATE_ST-HVG-Parse
BUB1B	0.04291	0.0550266206	141	STATE_ST-HVG-Parse
SMG1	-0.080654	0.0003054809	35	STATE_ST-HVG-Parse
SRRM1	0.150377	0.0	180	STATE_ST-HVG-Parse
TMEM127	-0.002871	0.8979026079	132	STATE_ST-HVG-Parse
POLR3F	0.104538	2.7994e-06	165	STATE_ST-HVG-Parse
CD3EAP	0.235958	0.0	88	STATE_ST-HVG-Parse
NUP93	-0.021262	0.3419269621	159	STATE_ST-HVG-Parse
MED11	0.237865	0.0	237	STATE_ST-HVG-Parse
SPDL1	0.026629	0.2339024395	88	STATE_ST-HVG-Parse
ISCA2	0.089464	6.16307e-05	232	STATE_ST-HVG-Parse
ANAPC13	0.077551	0.0005180683	112	STATE_ST-HVG-Parse
TWF1	0.094595	2.26244e-05	140	STATE_ST-HVG-Parse
MRPL50	-0.044674	0.0457583033	171	STATE_ST-HVG-Parse
NUBP2	-0.000716	0.9744896889	153	STATE_ST-HVG-Parse
RPP14	0.302928	0.0	56	STATE_ST-HVG-Parse
ADAT3	0.123942	2.68e-08	125	STATE_ST-HVG-Parse
SS18L2	0.069927	0.001753491	144	STATE_ST-HVG-Parse
SEC61B	-0.131498	3.6e-09	84	STATE_ST-HVG-Parse
SMARCB1	-0.020893	0.3503767252	182	STATE_ST-HVG-Parse
ACTR10	0.044287	0.0476672761	116	STATE_ST-HVG-Parse
DCTN1	0.089386	6.25486e-05	197	STATE_ST-HVG-Parse
YBX1	0.040895	0.0674776137	86	STATE_ST-HVG-Parse
DNM1	-0.048627	0.0296610091	146	STATE_ST-HVG-Parse
RPL9	0.274828	0.0	242	STATE_ST-HVG-Parse
IPO9	0.015606	0.4854680002	187	STATE_ST-HVG-Parse
DBF4	-0.133008	2.4e-09	131	STATE_ST-HVG-Parse
INTS6	0.05938	0.0079020988	146	STATE_ST-HVG-Parse
METAP1	-0.007144	0.7495006323	102	STATE_ST-HVG-Parse
RPL36A	0.118668	1.024e-07	84	STATE_ST-HVG-Parse
PPRC1	0.154132	0.0	122	STATE_ST-HVG-Parse
PRPF8	0.241782	0.0	150	STATE_ST-HVG-Parse
STX18	0.07704	0.0005640978	86	STATE_ST-HVG-Parse
FNBP4	-0.041832	0.0614253692	160	STATE_ST-HVG-Parse
EXOSC6	0.238137	0.0	75	STATE_ST-HVG-Parse
TBP	0.167662	0.0	151	STATE_ST-HVG-Parse
UBE2L3	-0.032443	0.1469593048	201	STATE_ST-HVG-Parse
HSPE1	0.113979	3.208e-07	29	STATE_ST-HVG-Parse
CDCA8	0.145164	1e-10	82	STATE_ST-HVG-Parse
ECD	0.196044	0.0	72	STATE_ST-HVG-Parse
NOP9	0.044898	0.0446813293	78	STATE_ST-HVG-Parse
ERVW-1	-0.025342	0.2573020756	175	STATE_ST-HVG-Parse
TFDP1	0.057958	0.0095277177	163	STATE_ST-HVG-Parse
WBP1L	-0.077226	0.0005469196	199	STATE_ST-HVG-Parse
RPL10	0.26581	0.0	276	STATE_ST-HVG-Parse
PTMA	0.044718	0.0455456749	152	STATE_ST-HVG-Parse
SNF8	-0.065868	0.0032080971	132	STATE_ST-HVG-Parse
DPM2	-0.061209	0.0061771665	153	STATE_ST-HVG-Parse
HJURP	-0.029933	0.180865258	111	STATE_ST-HVG-Parse
TFRC	0.116836	1.608e-07	57	STATE_ST-HVG-Parse
AP2S1	0.14667	0.0	123	STATE_ST-HVG-Parse
GNL2	0.232787	0.0	351	STATE_ST-HVG-Parse
RPN2	-0.098358	1.04987e-05	105	STATE_ST-HVG-Parse
EIF4A3	0.090914	4.66689e-05	7	STATE_ST-HVG-Parse
CHMP5	0.063381	0.0045745946	110	STATE_ST-HVG-Parse
ABCF1	0.183146	0.0	329	STATE_ST-HVG-Parse
RBBP4	0.075866	0.0006848156	90	STATE_ST-HVG-Parse
NCAPD2	0.02659	0.2345984727	48	STATE_ST-HVG-Parse
TEN1	0.016225	0.4683277309	86	STATE_ST-HVG-Parse
TSEN2	-0.075494	0.0007277989	177	STATE_ST-HVG-Parse
PIAS4	0.181929	0.0	206	STATE_ST-HVG-Parse
PEF1	0.033241	0.1372674406	48	STATE_ST-HVG-Parse
ANKLE2	0.021501	0.3365159035	126	STATE_ST-HVG-Parse
CPOX	-0.060385	0.006907295	101	STATE_ST-HVG-Parse
NDUFB10	-0.051244	0.0219186135	154	STATE_ST-HVG-Parse
WNK1	0.055253	0.0134604117	137	STATE_ST-HVG-Parse
AQR	0.270727	0.0	90	STATE_ST-HVG-Parse
UBA1	0.195777	0.0	287	STATE_ST-HVG-Parse
RFC1	0.067732	0.0024403413	149	STATE_ST-HVG-Parse
RPS9	0.339535	0.0	276	STATE_ST-HVG-Parse
MRPS11	-0.003489	0.8760956526	95	STATE_ST-HVG-Parse
TNNT2	-0.042981	0.0546231531	28	STATE_ST-HVG-Parse
BYSL	0.249696	0.0	98	STATE_ST-HVG-Parse
ZCRB1	0.033578	0.1333221197	146	STATE_ST-HVG-Parse
TMSB10	0.03541	0.1133993194	228	STATE_ST-HVG-Parse
GNL3L	0.138396	5e-10	69	STATE_ST-HVG-Parse
ESF1	0.269375	0.0	149	STATE_ST-HVG-Parse
CNOT2	0.176413	0.0	84	STATE_ST-HVG-Parse
VPS51	0.010257	0.646653235	101	STATE_ST-HVG-Parse
ANAPC5	0.085238	0.0001353399	40	STATE_ST-HVG-Parse
TNPO3	0.017889	0.4239418805	100	STATE_ST-HVG-Parse
NUP160	0.204899	0.0	291	STATE_ST-HVG-Parse
GTF2B	0.16504	0.0	35	STATE_ST-HVG-Parse
ABT1	0.233828	0.0	107	STATE_ST-HVG-Parse
CCT7	0.164597	0.0	152	STATE_ST-HVG-Parse
RPS4X	0.340127	0.0	180	STATE_ST-HVG-Parse
DPY19L2	0.081747	0.0002525514	50	STATE_ST-HVG-Parse
EIF2B1	0.073202	0.0010527464	178	STATE_ST-HVG-Parse
RPL38	0.252849	0.0	184	STATE_ST-HVG-Parse
CDC23	0.17203	0.0	177	STATE_ST-HVG-Parse
MMGT1	-0.074997	0.0007891277	183	STATE_ST-HVG-Parse
DTL	0.217157	0.0	136	STATE_ST-HVG-Parse
PLK4	0.100648	6.4905e-06	32	STATE_ST-HVG-Parse
DBR1	0.074541	0.0008495135	98	STATE_ST-HVG-Parse
RPL23	0.288876	0.0	398	STATE_ST-HVG-Parse
TFAM	0.117513	1.362e-07	82	STATE_ST-HVG-Parse
SSBP1	0.097584	1.23218e-05	119	STATE_ST-HVG-Parse
MRPS35	0.020636	0.3563170731	201	STATE_ST-HVG-Parse
ALG14	-0.087306	9.24948e-05	183	STATE_ST-HVG-Parse
RPAP1	0.199199	0.0	91	STATE_ST-HVG-Parse
PPME1	0.066202	0.0030558796	222	STATE_ST-HVG-Parse
CINP	0.128639	7.8e-09	78	STATE_ST-HVG-Parse
NCL	0.125675	1.71e-08	298	STATE_ST-HVG-Parse
RPL15	0.298041	0.0	168	STATE_ST-HVG-Parse
WDR77	-0.001292	0.9539402127	42	STATE_ST-HVG-Parse
CTU2	-0.083567	0.0001829844	114	STATE_ST-HVG-Parse
DDX1	0.101236	5.7263e-06	101	STATE_ST-HVG-Parse
LSM3	0.132196	3e-09	74	STATE_ST-HVG-Parse
ZNF559	0.022525	0.3140095174	111	STATE_ST-HVG-Parse
TIMM22	-0.003845	0.8635672331	78	STATE_ST-HVG-Parse
GLMN	0.045921	0.0400271304	79	STATE_ST-HVG-Parse
MFN2	0.02941	0.188612029	135	STATE_ST-HVG-Parse
RPL39	0.207127	0.0	37	STATE_ST-HVG-Parse
DPPA2	-0.032397	0.1475248784	67	STATE_ST-HVG-Parse
NDUFAB1	0.012881	0.5647999048	160	STATE_ST-HVG-Parse
ERAL1	-0.012556	0.5746712685	116	STATE_ST-HVG-Parse
HAUS1	0.160778	0.0	53	STATE_ST-HVG-Parse
HDAC3	0.001363	0.9514110684	60	STATE_ST-HVG-Parse
U2AF2	0.120439	6.57e-08	107	STATE_ST-HVG-Parse
PPP1R15B	0.084184	0.0001637955	135	STATE_ST-HVG-Parse
NSA2	0.076545	0.0006123639	114	STATE_ST-HVG-Parse
PGK1	0.03874	0.0832641423	33	STATE_ST-HVG-Parse
RMI1	0.127668	1.01e-08	203	STATE_ST-HVG-Parse
CCP110	-0.03726	0.0957429558	47	STATE_ST-HVG-Parse
SRRM2	0.105169	2.4356e-06	173	STATE_ST-HVG-Parse
CTR9	0.131052	4e-09	212	STATE_ST-HVG-Parse
PRKRA	-0.001521	0.945802927	78	STATE_ST-HVG-Parse
LCE1C	-0.020899	0.3502310216	157	STATE_ST-HVG-Parse
C12orf60	0.112418	4.648e-07	110	STATE_ST-HVG-Parse
PSMD9	-0.047919	0.0321223363	94	STATE_ST-HVG-Parse
DLD	0.185125	0.0	311	STATE_ST-HVG-Parse
RPL28	0.102866	4.0334e-06	50	STATE_ST-HVG-Parse
POLR2A	0.263127	0.0	410	STATE_ST-HVG-Parse
DAP3	-0.004535	0.839386344	162	STATE_ST-HVG-Parse
NDUFA2	0.215409	0.0	187	STATE_ST-HVG-Parse
SETDB1	-0.031799	0.1551531255	124	STATE_ST-HVG-Parse
CBX1	-0.025734	0.2500043511	151	STATE_ST-HVG-Parse
RPL37A	0.284766	0.0	386	STATE_ST-HVG-Parse
RBM28	0.156317	0.0	68	STATE_ST-HVG-Parse
ELP3	0.012197	0.5856454372	119	STATE_ST-HVG-Parse
INTS3	0.092122	3.69113e-05	106	STATE_ST-HVG-Parse
EIF6	0.204484	0.0	129	STATE_ST-HVG-Parse
SMC3	0.259735	0.0	54	STATE_ST-HVG-Parse
MT2A	0.081583	0.0002598843	112	STATE_ST-HVG-Parse
GTF3C4	0.093527	2.79925e-05	129	STATE_ST-HVG-Parse
BRD4	0.00946	0.6724432707	116	STATE_ST-HVG-Parse
SNRPA1	0.19742	0.0	159	STATE_ST-HVG-Parse
SF3A3	0.116153	1.899e-07	25	STATE_ST-HVG-Parse
INO80B	0.071345	0.0014093769	116	STATE_ST-HVG-Parse
TMEM199	-0.056801	0.0110635618	99	STATE_ST-HVG-Parse
SRP19	0.050584	0.0236823279	124	STATE_ST-HVG-Parse
CDC45	0.093694	2.70808e-05	92	STATE_ST-HVG-Parse
BRIP1	0.077792	0.0004975758	132	STATE_ST-HVG-Parse
GSDMA	-0.070597	0.0015821343	110	STATE_ST-HVG-Parse
FAM207A	0.073849	0.0009494741	103	STATE_ST-HVG-Parse
