gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
FOLR3	0.020114	0.3686280549	304	STATE_ST-HVG-Parse
USF2	0.005861	0.7933500409	185	STATE_ST-HVG-Parse
ACTR2	0.020619	0.3567201793	236	STATE_ST-HVG-Parse
RNF14	-0.068246	0.0022604899	240	STATE_ST-HVG-Parse
RPS24	0.333928	0.0	243	STATE_ST-HVG-Parse
RPS19	0.347869	0.0	422	STATE_ST-HVG-Parse
ARGLU1	-0.067947	0.002363527	498	STATE_ST-HVG-Parse
GTF2H4	0.104497	2.8252e-06	115	STATE_ST-HVG-Parse
NPEPPS	0.01149	0.6075748801	153	STATE_ST-HVG-Parse
GTF2E2	0.172657	0.0	70	STATE_ST-HVG-Parse
TRNT1	0.013851	0.5358530879	203	STATE_ST-HVG-Parse
NUMA1	0.174813	0.0	284	STATE_ST-HVG-Parse
PDCD6IP	-0.148284	0.0	257	STATE_ST-HVG-Parse
TARDBP	0.000845	0.9698546529	169	STATE_ST-HVG-Parse
CPNE7	0.088456	7.45875e-05	101	STATE_ST-HVG-Parse
DYNLRB1	0.238811	0.0	282	STATE_ST-HVG-Parse
KRR1	0.317819	0.0	449	STATE_ST-HVG-Parse
THOC6	0.11083	6.742e-07	116	STATE_ST-HVG-Parse
INTS8	0.153875	0.0	323	STATE_ST-HVG-Parse
DYNC1I2	0.345793	0.0	300	STATE_ST-HVG-Parse
HSPA5	0.194979	0.0	438	STATE_ST-HVG-Parse
PSME2	-0.040385	0.0709675103	151	STATE_ST-HVG-Parse
MCM4	0.080678	0.0003042535	87	STATE_ST-HVG-Parse
UBE2D3	-0.017929	0.4229233563	142	STATE_ST-HVG-Parse
PSMD11	0.167127	0.0	80	STATE_ST-HVG-Parse
SRP72	0.045556	0.041640833	224	STATE_ST-HVG-Parse
MRPL55	-0.008395	0.7074995041	170	STATE_ST-HVG-Parse
AHCY	0.027071	0.2262320369	147	STATE_ST-HVG-Parse
OLFML3	0.048128	0.0313762836	173	STATE_ST-HVG-Parse
CRNKL1	0.276812	0.0	261	STATE_ST-HVG-Parse
NELFCD	0.154346	0.0	201	STATE_ST-HVG-Parse
HCRTR1	-0.0778	0.0004969297	116	STATE_ST-HVG-Parse
PSMB7	0.173155	0.0	404	STATE_ST-HVG-Parse
SRSF11	-0.028204	0.2073816806	437	STATE_ST-HVG-Parse
TSR2	0.318296	0.0	523	STATE_ST-HVG-Parse
DNMT1	-0.044152	0.0483532399	170	STATE_ST-HVG-Parse
PDCD11	0.305985	0.0	98	STATE_ST-HVG-Parse
PSMD8	0.045768	0.0406988487	22	STATE_ST-HVG-Parse
NCBP2	0.194544	0.0	992	STATE_ST-HVG-Parse
C7orf26	0.15799	0.0	86	STATE_ST-HVG-Parse
ZNF131	0.030617	0.1710968316	23	STATE_ST-HVG-Parse
CDC20	0.250706	0.0	115	STATE_ST-HVG-Parse
BUD13	0.161415	0.0	174	STATE_ST-HVG-Parse
DYNLL1	0.108268	1.2153e-06	71	STATE_ST-HVG-Parse
CLASRP	0.019926	0.3731271625	127	STATE_ST-HVG-Parse
RRP15	0.12095	5.78e-08	32	STATE_ST-HVG-Parse
SNRPD3	0.265715	0.0	182	STATE_ST-HVG-Parse
COG2	0.015816	0.4796133935	343	STATE_ST-HVG-Parse
PC	0.071175	0.0014470541	225	STATE_ST-HVG-Parse
SFPQ	0.171416	0.0	303	STATE_ST-HVG-Parse
SDE2	0.087499	8.92388e-05	151	STATE_ST-HVG-Parse
MRPL18	-0.017406	0.4365645051	180	STATE_ST-HVG-Parse
CDK11A	-0.102584	4.2871e-06	269	STATE_ST-HVG-Parse
VHL	-0.003619	0.8715116978	162	STATE_ST-HVG-Parse
RPL34	0.289733	0.0	330	STATE_ST-HVG-Parse
TRAPPC3	-0.00809	0.717656672	163	STATE_ST-HVG-Parse
SLC16A5	0.109025	1.0223e-06	179	STATE_ST-HVG-Parse
RPS3	0.328779	0.0	276	STATE_ST-HVG-Parse
NAA15	0.172896	0.0	128	STATE_ST-HVG-Parse
TTC1	-0.041006	0.0667315125	69	STATE_ST-HVG-Parse
DONSON	0.124119	2.56e-08	745	STATE_ST-HVG-Parse
KANSL3	-0.147562	0.0	187	STATE_ST-HVG-Parse
KRT10	-0.000757	0.9730026722	182	STATE_ST-HVG-Parse
DNM1L	0.084733	0.0001483409	168	STATE_ST-HVG-Parse
PTPN23	-0.121608	4.89e-08	140	STATE_ST-HVG-Parse
ARPC3	-0.01528	0.4946215451	141	STATE_ST-HVG-Parse
WDR33	0.168448	0.0	103	STATE_ST-HVG-Parse
ANAPC4	0.189653	0.0	63	STATE_ST-HVG-Parse
SPCS2	0.011202	0.6166182756	122	STATE_ST-HVG-Parse
ATP6V1H	0.15146	0.0	84	STATE_ST-HVG-Parse
COG1	-0.026706	0.2325627357	40	STATE_ST-HVG-Parse
NANOG	-0.07411	0.0009105944	125	STATE_ST-HVG-Parse
DSN1	0.36874	0.0	245	STATE_ST-HVG-Parse
PSMB4	0.0355	0.1124822572	101	STATE_ST-HVG-Parse
EGLN2	0.02153	0.3358598053	362	STATE_ST-HVG-Parse
PPWD1	0.259678	0.0	24	STATE_ST-HVG-Parse
RPLP2	0.112377	4.693e-07	222	STATE_ST-HVG-Parse
GTF3C5	0.119446	8.43e-08	166	STATE_ST-HVG-Parse
RARS2	0.073709	0.000971066	148	STATE_ST-HVG-Parse
COPS3	0.019402	0.3858104348	73	STATE_ST-HVG-Parse
PPIE	0.136135	1e-09	46	STATE_ST-HVG-Parse
UQCRQ	0.068512	0.0021721597	166	STATE_ST-HVG-Parse
RPF1	0.192158	0.0	125	STATE_ST-HVG-Parse
GEMIN7	0.056454	0.0115651125	136	STATE_ST-HVG-Parse
LSM5	0.137542	7e-10	202	STATE_ST-HVG-Parse
ZBTB17	-0.008155	0.7155113816	160	STATE_ST-HVG-Parse
PPP1R12A	-0.050472	0.0239949413	179	STATE_ST-HVG-Parse
DPH2	0.078627	0.0004322764	164	STATE_ST-HVG-Parse
POLR2G	0.295011	0.0	155	STATE_ST-HVG-Parse
RPS29	0.317094	0.0	403	STATE_ST-HVG-Parse
TCOF1	0.203248	0.0	97	STATE_ST-HVG-Parse
DDX19A	0.016265	0.4672399461	103	STATE_ST-HVG-Parse
LSM12	0.016863	0.4510186315	63	STATE_ST-HVG-Parse
C19orf53	-0.018488	0.4086094797	169	STATE_ST-HVG-Parse
TUBA1B	0.188676	0.0	74	STATE_ST-HVG-Parse
USP39	0.124183	2.52e-08	220	STATE_ST-HVG-Parse
TAF10	0.175384	0.0	39	STATE_ST-HVG-Parse
HUS1	-0.106567	1.7842e-06	201	STATE_ST-HVG-Parse
GARS	0.049391	0.0271895826	256	STATE_ST-HVG-Parse
CNOT1	0.289326	0.0	269	STATE_ST-HVG-Parse
CHD4	-0.007669	0.7317929268	44	STATE_ST-HVG-Parse
TUBGCP6	-0.008068	0.7183974981	153	STATE_ST-HVG-Parse
ZNF506	0.017748	0.4276204109	177	STATE_ST-HVG-Parse
KIAA1143	0.067579	0.0024962649	198	STATE_ST-HVG-Parse
XPO1	0.207264	0.0	207	STATE_ST-HVG-Parse
SART1	0.231967	0.0	306	STATE_ST-HVG-Parse
SLC4A5	-0.034364	0.1244629249	226	STATE_ST-HVG-Parse
VCP	0.104267	2.9712e-06	239	STATE_ST-HVG-Parse
RPS10	0.313552	0.0	106	STATE_ST-HVG-Parse
MRPS23	-0.00668	0.7652952671	119	STATE_ST-HVG-Parse
SGPP1	-0.036543	0.1023045331	159	STATE_ST-HVG-Parse
NUP54	0.137605	6e-10	291	STATE_ST-HVG-Parse
POLR2B	0.297241	0.0	320	STATE_ST-HVG-Parse
ANAPC2	0.143812	1e-10	237	STATE_ST-HVG-Parse
SMARCE1	-0.020356	0.3628908396	31	STATE_ST-HVG-Parse
ERCC2	0.128829	7.4e-09	117	STATE_ST-HVG-Parse
TOMM22	0.119509	8.3e-08	104	STATE_ST-HVG-Parse
PRIM2	0.117497	1.367e-07	156	STATE_ST-HVG-Parse
PPP2CA	0.058635	0.0087196594	184	STATE_ST-HVG-Parse
CEP85	0.111214	6.164e-07	129	STATE_ST-HVG-Parse
NISCH	-0.05649	0.011512666	144	STATE_ST-HVG-Parse
