gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	n_downstream	n_upstream	method
RAD21	0.236933	0.3145178474	117	0	1	GRN_Propagation
RPTOR	0.0	1.0	82	0	1	GRN_Propagation
NOLC1	0.625754	0.0031664242	119	0	3	GRN_Propagation
YY1	0.005751	0.9808023079	82	44	7	GRN_Propagation
SUMO2	0.547949	0.0123784315	63	0	1	GRN_Propagation
SYMPK	0.0	1.0	89	0	1	GRN_Propagation
DDX21	0.678143	0.0010153226	90	0	1	GRN_Propagation
GSPT1	0.298575	0.2010029523	108	0	1	GRN_Propagation
EWSR1	0.486019	0.0298026561	48	3	0	GRN_Propagation
NOL7	0.663172	0.0014363493	73	0	3	GRN_Propagation
BIRC5	0.286162	0.221280292	46	0	18	GRN_Propagation
ARID3A	0.530438	0.0161277254	31	5	0	GRN_Propagation
SNAPC1	0.0	1.0	96	0	2	GRN_Propagation
POLD2	0.454839	0.0439101988	78	0	5	GRN_Propagation
INO80	0.0	1.0	151	0	1	GRN_Propagation
WBP1	0.0	1.0	99	0	1	GRN_Propagation
NPAT	0.0	1.0	21	0	1	GRN_Propagation
ILF2	0.531451	0.01588856	56	1	0	GRN_Propagation
DMAP1	-0.027008	0.9100093377	78	3	0	GRN_Propagation
UPF1	0.0	1.0	131	2	2	GRN_Propagation
GMPS	0.573077	0.0082587457	123	0	1	GRN_Propagation
WEE1	0.0	1.0	41	0	1	GRN_Propagation
TOPBP1	0.356497	0.1228666159	52	0	1	GRN_Propagation
UBC	0.929151	3.3e-09	107	0	2	GRN_Propagation
PSMC5	0.0	1.0	17	0	1	GRN_Propagation
CCNA2	0.330203	0.1550623008	24	0	6	GRN_Propagation
PLK1	0.22908	0.331293648	60	0	3	GRN_Propagation
SF1	0.251871	0.2840515077	47	4	2	GRN_Propagation
TOE1	0.213234	0.3667104698	146	0	1	GRN_Propagation
NPM1	0.930455	2.8e-09	27	7	0	GRN_Propagation
IPO7	0.585266	0.0067093622	75	0	1	GRN_Propagation
SNIP1	0.53282	0.0155699142	45	1	0	GRN_Propagation
TERF1	0.303641	0.1930964554	83	0	1	GRN_Propagation
IPO13	0.0	1.0	51	0	1	GRN_Propagation
SET	0.441395	0.0513824757	17	0	1	GRN_Propagation
FDPS	0.50418	0.0234033135	10	0	4	GRN_Propagation
